Removed Pin From Net: NetName=VCOLL Pin=Q1-2
Removed Pin From Net: NetName=VBAT Pin=Q1-3
Removed Pin From Net: NetName=VCORE Pin=Q2-2
Removed Pin From Net: NetName=VBAT Pin=Q2-3
Change Component DesignItemId : Designator=U14 Old DesignItemId= New DesignItemId=74HC1G14
Change Component DesignItemId : Designator=U10 Old DesignItemId= New DesignItemId=AD8237
Change Component DesignItemId : Designator=BT1 Old DesignItemId= New DesignItemId=Battery
Change Component DesignItemId : Designator=D3 Old DesignItemId= New DesignItemId=BAV99WT1G
Change Component DesignItemId : Designator=C2 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C3 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C5 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C7 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C9 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C10 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C12 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C14 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C15 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C17 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C19 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C20 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C21 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C22 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C23 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C24 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C25 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C26 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C27 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C29 Old DesignItemId= New DesignItemId=Cap
Change Component DesignItemId : Designator=C31 Old DesignItemId= New DesignItemId=Cap
